Topic,gamma,Terms
topic9,0.06935641639189559,"application, excellent, information, service, yara, provide, simple, solutions, interface, protection"
topic7,0.06821234579079065,"information, agri, nice, students, aap, agricultural, lots, useless, provide, daily"
topic4,0.06631739828516445,"crop, service, weather, advisory, india, smart, accurate, knowledge, prediction, purchases"
topic5,0.06483556043440751,"application, nice, easy, data, language, superb, english, hindi, malayalam, gujarati"
topic11,0.06363331210144922,"nice, super, video, feature, products, response, list, soil, beneficial, details"
topic1,0.06271866369729621,"helpful, agricultural, amazing, nice, love, related, helping, agri, awesome, service"
topic14,0.06242825576901072,"crops, update, helpful, helps, features, review, keywords, provide, pictures, fertilizer"
topic2,0.06226806452116574,"informative, application, add, excellent, products, customer, ma, na, poor, support"
topic12,0.0620194923411363,"information, awesome, nice, organic, husbandry, knowledge, jay, info, animal, sector"
topic13,0.06175521636794808,"related, easy, nice, informative, market, experts, option, rate, farm, rating"
topic10,0.0617385425259152,"nice, apps, learn, amazing, update, information, time, solution, ag, horticulture"
topic8,0.05964160861812854,"lot, product, absolutely, level, team, students, play, issue, internet, real"
topic6,0.059322530511447244,"helpful, che, saras, business, मंडी, pictures, quality, page, cultivation, भाव"
topic16,0.05903541454794189,"knowledge, experience, agrimedia, found, features, weeds, identify, product, wonderful, quickly"
topic3,0.05867500227361865,"hai, helpful, people, india, beneficial, farm, chhe, platform, world, jai"
topic15,0.058042175822683964,"download, unable, version, usefull, install, issue, team, love, helping, practice"
